反照率 Albedo
R钳制22 RClamp22
G轮胎堆叠03阴影LOD5 GTireStack03ShadowLod5
G幂基地LOD1 GPowerStationLod1
GCentralCoreHolePlug01 GCentralCoreHolePlug01
推进器L01Se目标01 ThrusterL01SeDest01
平台套件地面角落 PlatformKitFloorCorner
G战壕墙3m01LOD3 GTrenchWall3m01Lod3
G头部尖刺01LOD1 GHeadSpike01Lod1
G背包阴影 GBackpackShadow
R拇指2 RThumb2
EyebrowL EyebrowL
BellyEntrails31 BellyEntrails31
GChassiShadowLod3 GChassiShadowLod3
R炮塔偏航 RTurretYaw
扫描线02数量 Scanline02Count
BulbSurface9 BulbSurface9
右翼片 RightFlap
CCollissionArmY CCollissionArmY
G骨骼生物04LOD4 GBoneCreature04Lod4
MLink MLink
G鹰式火箭阴影LOD2 GEagleRocketShadowLod2
Goodbye Goodbye
LookDeactivate LookDeactivate
GSeChainfenceWallBarbedwireHalfShadow GSeChainfenceWallBarbedwireHalfShadow
GMeshSkinnedLod2 GMeshSkinnedLod2
HealthPack HealthPack
G通用碎片中型05 GGenericDebrisMedium05
G岩石柱02阴影LOD1 GRockPillar02ShadowLod1
G半机械人管线T形段阴影LOD1 GCyborgPipelineTsectionShadowLod1
盖1 Lid1
GIl废墟碎石小型02LOD1 GIlRubbleSmall02Lod1
腿右前外部顶部碎肉 LegRightFrontOuterTopGibs
Lav Lav
G栏杆角落掩体阴影LOD2 GRailingCornerCoverShadowLod2
Cy障碍栅栏角落01 CyBarrierFenceCorner01
旗帜墙01 FlagWall01
G闸门02阴影LOD2 GGate02ShadowLod2
GSam地点阴影LOD2 GSamSiteShadowLod2
G炮塔阴影LOD1 GTurretShadowLod1
BL工厂活塞 BLFactoryPiston
GHabs球形油坦克01阴影LOD1 GHabsSphericalOilTank01ShadowLod1
头部1 Head1
G围攻引擎阴影LOD3 GSiegeEngineShadowLod3
G虫族黏液枕头01LOD3 GBugGoopPillow01Lod3
DeadDone DeadDone
CBlSuspDown CBlSuspDown
M机器枪炮塔 MMachinegunTurret
GCy电池空01LOD4 GCyBatteryEmpty01Lod4
C碰撞01金属度5 CCollision01Metal5
Habs栏杆角落 HabsRailingCorner
导弹1 Missile1
AttachTurretSeg3Lft1 AttachTurretSeg3Lft1
LMiddleFingel2 LMiddleFingel2
GSeafShellHighYieldLod3 GSeafShellHighYieldLod3
M冰结构02 MIceStructure02
MEquipment MEquipment
G额外屏幕05 GExtraScreen05
GEagleBombLod2 GEagleBombLod2
ReloadAssaultRifleHelghast ReloadAssaultRifleHelghast
GSe殖民地路缘直线2450M GSeColonyCurbStraight2450M
CMov CMov
额外屏幕01 ExtraScreen01
C补给容器012堆叠 CSupplyContainer012stack
动作充能冲击 ActionChargeImpact
光照23 Light23
G荒原松树02碎肉22 GMoorPinetree02Gibs22
G目标殖民地中继碎片02 GObjectiveColonyRelayDebris02
ActionExtendDone ActionExtendDone
G极地岩石巨型02LOD5 GArcticRockMassive02Lod5
G发射器LOD2 GLauncherLod2
G巢穴领主端部件LOD4 GHiveLordEndpieceLod4
G网格LOD5 GMeshLod5
G飞机08 GPlane08
Spotting Spotting
TimerTick TimerTick
L前引擎翼片R1 LFrontEngineFlapR1
装填喷火器 ReloadFlamethrower
GSe标志防护装备01LOD3 GSeSignProtectionGear01Lod3
G天气叶片高01LOD5 GWeatherVaneTall01Lod5
GHabsForklift01 GHabsForklift01
G岩石废墟碎石02LOD5 GRockRubble02Lod5
GIl柱完整小型废墟碎石碎片03 GIlPillarWholeSmallRubbleDebris03
C移动02 CMovement02
G鹰式LOD3 GEagleLod3
披风7 Cape7
G荒原长苔枕头02LOD5 GMoorMossyPillow02Lod5
G标志警告地狱舱LOD3 GSignWarningHellpodLod3
G手雷发射器弹药破片LOD1 GGrenadeLauncherAmmoFragLod1
聚光灯02 SpotLight02
De De
GAssaultRifleKarbinShadowLod3 GAssaultRifleKarbinShadowLod3
GIl柱完整小型LOD5 GIlPillarWholeSmallLod5
G小型通用风车01LOD3 GSmallGenericWindmill01Lod3
Il罐 IlCanister
PortablePot01 PortablePot01
Halo Halo
G废墟碎石切片04LOD1 GRubbleSlice04Lod1
C膝盖04 CKnee04
Knockdown Knockdown
M无人机 MDrone
G基础阴影 GBaseShadow
虹彩3 Iris3
SwitchL SwitchL
活塞01L Piston01L
容器05 Container05
GCyNetworkTowerDishLod1 GCyNetworkTowerDishLod1
GreenCorpBiosphere02Debris10 GreenCorpBiosphere02Debris10
GHabs通风墙013LOD1 GHabsVentilationWall013Lod1
G岩石巨大01LOD4 GRockHuge01Lod4
R头部0122关节 RHead0122Jnt
桥外壳 BridgeShell
WalkFocusedCover WalkFocusedCover
装填喷火器快速 ReloadFlamethrowerFast
G尸体旧躺卧01LOD2 GCorpsesOldLying01Lod2
G通用碎片中型013LOD1 GGenericDebrisMedium013Lod1
G腐蚀飞镖枪圆柱阴影 GCausticDartGunCylinderShadow
C身体01 CBody01
火焰出口 FireExit
G征召兵腿01阴影 GConscriptLeg01Shadow
铰链L01 HingeL01
M管线 MPipeline
GRockClimbing01ShadowLod1 GRockClimbing01ShadowLod1
GPipesSinglepipe01Debris01 GPipesSinglepipe01Debris01
脚趾07 Toe07
SeOrbitalCannonBlocker SeOrbitalCannonBlocker
36x12002切片02 36x12002Slice02
G游戏切片03LOD3 GGameSlice03Lod3
ReloadAssshotgun ReloadAssshotgun
GSe轰炸机已摧毁炮塔木桶LOD4 GSeBomberDestroyedTurretBarrelsLod4
G虫族圆柱阴影LOD1 GBugCylinderShadowLod1
M虫族岩石中型02 MBugRockMedium02
枪套C4 HolsterC4
G岩石悬崖面部01LOD1 GRockCliffFace01Lod1
G虫族样本01LOD4 GBugSample01Lod4
G围攻引擎LOD2 GSiegeEngineLod2
虫族网07 BugWeb07
Grass6 Grass6
G虫族岩石平面01阴影 GBugRockFlat01Shadow
G真理发射器塔屏幕05LOD1 GTruthTransmitterTowerScreen05Lod1
G智能手枪LOD5 GSmartPistolLod5
G岩石战壕02阴影LOD1 GRockTrench02ShadowLod1
G武器架阴影LOD3 GWeaponRackShadowLod3
GSe殖民地废墟碎石小型01LOD5 GSeColonyRubbleSmall01Lod5
G孢子集群04阴影LOD2 GSporeCluster04ShadowLod2
C罐装食物中型02 CCannedFoodMedium02
G电缆04阴影LOD1 GCable04ShadowLod1
C子弹03 CBullet03
GIl生成器LOD4 GIlSpawnerLod4
G搜索光照空气碎片 GSearchLightAirDebris
C碰撞金属度 CCollisionMetal
EnemySpotted EnemySpotted
G沙袋03阴影LOD1 GSandbag03ShadowLod1
GBarbwireSpool01Lod1 GBarbwireSpool01Lod1
弹药检查等离子手枪 AmmocheckPlasmapistol
G导航1 GNavigation1
G虫族巢穴墙小型LOD1 GBugHiveWallSmallLod1
CHamR CHamR
装备03 Gear03
Cy资源发射井01 CyResourceSilo01
TeethUpper TeethUpper
G墙柱 GWallPillar
标志生成器01 SignSpawner01
G树桩巨大01LOD3 GStumpHuge01Lod3
SequenceEnd SequenceEnd
守卫运动 GuardLocomotion
GSe中型墙墙完整阴影 GSeWallmedWallFullShadow
G容器04LOD4 GContainer04Lod4
BugRockWallSlanted01 BugRockWallSlanted01
G教学虫族动物园墙05 GTutorialBugZooWall05
GCy电池空4xLOD5 GCyBatteryEmpty4xLod5
GIl雕像中型阴影 GIlStatueMediumShadow
GIl墙圆形6rLOD3 GIlWallCircle6rLod3
G半机械人精英女性LOD3 GCyborgEliteFemaleLod3
脉冲频率 PulseFrequency
G沼泽英雄树闹鬼小型阴影LOD2 GSwampHeroTreeHauntedSmallShadowLod2
G废墟碎片直线1m01阴影 GRuinDebrisStraight1m01Shadow
特效推进器09 FxThruster09
G标志手雷虫族碎片01 GSignGrenadeBugDebris01
乘员后方LIk脚左 PassengerRearLIkFootLeft
GIl能量电池LOD1 GIlEnergyBatteryLod1
L肩部活塞2开始 LShoulderPiston2Start
ReloadFaster ReloadFaster
触手5 Tentacle5
广告牌杆小型01 BillboardPoleSmall01
前着陆腿 FrontLandingLeg
缩放脊柱3 ScaleSpine3
推进器RCy目标02 ThrusterRCyDest02
GGenSkeletonPileLod4 GGenSkeletonPileLod4
GLegendariumSample01Shadow GLegendariumSample01Shadow
GCy爆炸物电池01LOD3 GCyExplosiveBattery01Lod3
ReloadRecoilless ReloadRecoilless
G特大管道连接LOD1 GXlPipeConnectionLod1
GSe碉堡墙60LOD3 GSePillboxWall60Lod3
自发光生命周期最小 EmissiveLifetimeMin
噪声遮罩颜色 NoiseMaskColor
GCy火炮外壳堆叠01LOD3 GCyArtilleryShellStack01Lod3
前护盾 FrontShield
GSe大型墙墙一半管道完整LOD3 GSeWallbigWallHalfpipeFullLod3
L腿剔除 LLegCulling
GCyCrateBigWithLid01Lod5 GCyCrateBigWithLid01Lod5
GCySatDebris8m01Shield2Lod2 GCySatDebris8m01Shield2Lod2
L钳制53 LClamp53
GCyCrateBigWithLid01ShadowLod1 GCyCrateBigWithLid01ShadowLod1
GCy爆炸物电池3x2阴影LOD2 GCyExplosiveBattery3x2ShadowLod2
Spring02 Spring02
GSeChainfenceWallBarbedwireHalfShadowLod2 GSeChainfenceWallBarbedwireHalfShadowLod2
G沼泽英雄树闹鬼大型LOD4 GSwampHeroTreeHauntedLargeLod4
C通用碎片大型0407 CGenericDebrisLarge0407
MCaucasian01 MCaucasian01
C生成器04 CGenerator04
L前手臂4 LFrontArm4
BugCaviarLarge01 BugCaviarLarge01
G城市车辆04阴影LOD2 GCityCar04ShadowLod2
GCy火炮外壳空堆小型01LOD4 GCyArtilleryShellEmptyPileSmall01Lod4
GSe中型墙墙完整蓝色LOD1 GSeWallmedWallFullBlueLod1
GCy电池空01LOD2 GCyBatteryEmpty01Lod2
G极地岩石通用中型04LOD5 GArcticRockGenericMedium04Lod5
G地狱舱阴影LOD2 GHellpodShadowLod2
BeaconRetract BeaconRetract
G通用碎片小型01LOD1 GGenericDebrisSmall01Lod1
G身体LOD4 GBodyLod4
GHabs球形油坦克01LOD5 GHabsSphericalOilTank01Lod5
G研究基地废墟碎石 GResearchStationRubble
G沙袋堆02LOD1 GSandbagPile02Lod1
M屋顶 MRoof
G根部墙03LOD4 GRootWall03Lod4
L门03 LDoor03
护盾冲击 ShieldImpact
GCyborgSpawnerJammerLod2 GCyborgSpawnerJammerLod2
GConsoleTable01Lod1 GConsoleTable01Lod1
C前腿2R CFrontLeg2R
L头部0160关节 LHead0160Jnt
G弹药箱02LOD4 GAmmoBox02Lod4
Ko Ko
GIl废墟碎石堆02LOD4 GIlRubblePile02Lod4
GHabs通风屋顶05LOD2 GHabsVentilationRoof05Lod2
侵蚀平移 ErodePan
碎片01 Debris01
R翼33 RWing33
底部 Bottom
R前引擎受损 RFrontEngineDamaged
Il平台直线 IlPlatformStraight
GSe殖民地废墟碎石小型01LOD1 GSeColonyRubbleSmall01Lod1
G机库箱中型01LOD5 GHangarCrateMedium01Lod5
G城市车辆废墟碎石08阴影LOD1 GCityCarRubble08ShadowLod1
CHead1Convex CHead1Convex
C平台 CPlatform
G遗物样本01LOD2 GArtifactSample01Lod2
GIl墙圆形破损6rLOD5 GIlWallCircleBroken6rLod5
光照02 Light02
MEmplacementTankTurret MEmplacementTankTurret
GSeSignWarningExplosives01ShadowLod1 GSeSignWarningExplosives01ShadowLod1
GIl电缆009阴影LOD1 GIlCables009ShadowLod1
G沙质岩石倾斜中型01阴影LOD2 GSandyRockTiltedMedium01ShadowLod2
G箱体033x3 GCase033x3
SiegeEngineSarcophagus SiegeEngineSarcophagus
C碰撞01混凝土11 CCollision01Concrete11
G岩石战壕01阴影 GRockTrench01Shadow
GHabs尸体头部01阴影LOD2 GHabsCorpseHead01ShadowLod2
CResearchBioSample01 CResearchBioSample01
G入口板LOD1 GEntrancePlateLod1
G城市车辆废墟碎石08LOD4 GCityCarRubble08Lod4
G冰冰柱01LOD4 GIceIcicle01Lod4
G战壕墙中型柱01LOD4 GTrenchWallMediumPillar01Lod4
G废墟基础地面LOD1 GRuinBaseFloorLod1
ChestDamaged ChestDamaged
G弹药箱空01LOD1 GAmmocrateEmpty01Lod1
G虫族岩石墙03阴影 GBugRockWall03Shadow
GHabs楼梯屋顶出口右01 GHabsStairsRoofExitRight01
GPatiotableSmall01Folded GPatiotableSmall01Folded
PlayerNumber PlayerNumber
CAntennaTelescope4 CAntennaTelescope4
G极地岩石通用中型05LOD5 GArcticRockGenericMedium05Lod5
G就绪架LOD5 GReadyRackLod5
G虫族圆柱 GBugCylinder
C光照L后02 CLightLBack02
Se轰炸机已摧毁主身体 SeBomberDestroyedMainBody
GIl生成器 GIlSpawner
GSe教学墙柱01阴影LOD1 GSeTutorialWallPillar01ShadowLod1
岩石岩石大型01 RockyRockLarge01
金属度LUT MetallicLut
GRadarWagonShadowLod1 GRadarWagonShadowLod1
G殖民地栏杆2m无护板阴影LOD1 GColonyRailing2mNoplateShadowLod1
瞄准Cy目标02 AimCyDest02
G迫击炮炮塔残骸LOD3 GMortarTurretWreckLod3
G通用碎片中型010 GGenericDebrisMedium010
G鹰式导弹阴影LOD2 GEagleMissileShadowLod2
飞机 Plane
G城市车辆04阴影LOD1 GCityCar04ShadowLod1
GSePlaygroundSpringRocker01ShadowLod2 GSePlaygroundSpringRocker01ShadowLod2
HeelPedalL HeelPedalL
G岩石巨大02LOD5 GRockHuge02Lod5
边缘遮罩最小V EdgeMaskMinV
G森林山02 GForestMountain02
M掩体门01 MBunkerDoor01
触手右爪1 TentacleRightClaw1
容器09 Container09
G鲸骨骼05阴影LOD2 GWhaleBone05ShadowLod2
G大型集水器01阴影 GLargeWatercollector01Shadow
调试空闲 DebugIdle
C后腿板L CBacklegplateL
GHabs墙天气结束01阴影LOD2 GHabsWallWeatherEnd01ShadowLod2
CockpitTop CockpitTop
C废墟碎石27 CRubble27
PosterMinistryTruth02 PosterMinistryTruth02
GSeaf外壳烟雾阴影LOD2 GSeafShellSmokeShadowLod2
GArcShotgunShadowLod1 GArcShotgunShadowLod1
RestraintRight RestraintRight
RForelegWristCull RForelegWristCull
G身体袋堆 GBodyBagPile
R腿护盾 RLegShield
枪口11 Muzzle11
C舰船 CShip
GIl柱完整小型阴影LOD1 GIlPillarWholeSmallShadowLod1
G通用碎片组填充巨大02LOD4 GGenericDebrisSetFillerHuge02Lod4
CyWalkerScoutBodyDamaged CyWalkerScoutBodyDamaged
G小型集水器01LOD5 GSmallWatercollector01Lod5
喷火器炮塔 FlamethrowerTurret
附加背包 AttachBackpack
根部 Root
身体完整 BodyWhole
GHabs平台04LOD5 GHabsPlatform04Lod5
GIl废墟碎石堆03阴影LOD1 GIlRubblePile03ShadowLod1
G容器11LOD2 GContainer11Lod2
GBerserkerCorpse01 GBerserkerCorpse01
L爪2 LClaw2
光照中心 LightCenter
进入 Enter
G根部小型01LOD3 GRootSmall01Lod3
C天气叶片高60 CWeatherVaneTall60
G导航13 GNavigation13
附加光照7 AttachLight7
世界位置偏移遮罩偏移 WpoMaskOffset
C废墟碎石碰撞02 CRubbleCollision02
M低温火箭延伸 MCryoRocketExtension
G岩石大型06 GRockLarge06
C钻头 CDrill
PaintSchemeHelldivers PaintSchemeHelldivers
GIl废墟方块屋顶阴影 GIlRuinBlockRoofShadow
材质3颜色细节 Material3Colordetail
GCy栅栏3x碎片04 GCyFence3xDebris04
Dummy Dummy
G额外屏幕06LOD2 GExtraScreen06Lod2
G巢穴领主腿LOD3 GHiveLordLegLod3
枪口14 Muzzle14
CSlide CSlide
手臂地雷 ArmMine
G位移背包 GDisplacementBackpack
G掩体缓存光照LOD2 GBunkerCacheLightLod2
G通用碎片组填充医疗01阴影 GGenericDebrisSetFillerMed01Shadow
G虫族尸体血肉堆02LOD5 GBugCorpseGorePile02Lod5
CCollisionRabiar CCollisionRabiar
TeleporterArea TeleporterArea
L炮塔 LTurret
TextureMapB4717188 TextureMapB4717188
特效身体右 FxBodyRight
G计算机平板LOD1 GComputerTabletLod1
G生成器灯头部01LOD3 GGeneratorLampHead01Lod3
GHabsFenceRural01Net01Lod3 GHabsFenceRural01Net01Lod3
FPS Fps
G殖民地胶囊天线LOD2 GColonyCapsuleAntennaLod2
GStickyStunGrenadeShadowLod3 GStickyStunGrenadeShadowLod3
CStomach CStomach
GIl电缆004阴影 GIlCables004Shadow
G桥外壳 GBridgeShell
R头部044关节 RHead044Jnt
死亡火焰 DeathFire
G天气叶片高01碎片12 GWeatherVaneTall01Debris12
EmotePushupOnehand EmotePushupOnehand
G火箭阴影LOD1 GRocketShadowLod1
LExtraPinkyFinger2 LExtraPinkyFinger2
M冰结构01 MIceStructure01
G骨骼生物01 GBoneCreature01
进入后方 EnterRear
G激光脉冲炮阴影LOD3 GLaserPulseCannonShadowLod3
CR箱01 CRBox01
GCy容器小型01碎片18 GCyContainerSmall01Debris18
弹药检查手雷手枪 AmmocheckGrenadepistol
G半机械人有机组件地点基础阴影LOD1 GCyborgOrganicAssemblySiteBaseShadowLod1
G激光脉冲炮LOD3 GLaserPulseCannonLod3
Material6Fuzziness Material6Fuzziness
GCy着陆垫01LOD3 GCyLandingpad01Lod3
G殖民地标志02A阴影LOD1 GColonySign02AShadowLod1
GHabs尸体03LOD2 GHabsCorpse03Lod2
G沙袋01阴影LOD2 GSandbag01ShadowLod2
G通用碎片中型03LOD1 GGenericDebrisMedium03Lod1
RagdollFixed RagdollFixed
G通用碎片组填充大型01 GGenericDebrisSetFillerLrg01
GSe轰炸机已摧毁左翼 GSeBomberDestroyedLeftWing
GStoreScreenLargeShadowLod2 GStoreScreenLargeShadowLod2
地狱舱架08 HellpodRack08
PokeTerminal PokeTerminal
BarkSurprised BarkSurprised
首领前 BossFront
C子弹25 CBullet25
G树巢03 GTreeNest03
G突击步枪纳乔弹匣标准阴影 GAssaultRifleNachoMagStandardShadow
StampRectanglesData3 StampRectanglesData3
GIl掩体墙结束02阴影LOD1 GIlCoverWallEnd02ShadowLod1
绘制手枪 DrawPistol
G机枪 GMg
BigWheel BigWheel
G电缆01LOD2 GCable01Lod2
L炮塔瞄准06 LTurretAim06
G驱逐舰LOD2 GDestroyerLod2
目标节点2 TargetNode2
FrontReg3R FrontReg3R
GExpendableNapalmLauncherLod1 GExpendableNapalmLauncherLod1
RBipod RBipod
GGnarlyTreeStump01Lod4 GGnarlyTreeStump01Lod4
R武器完整 RWeaponWhole
G弹匣小型LOD2 GMagSmallLod2
横幅左顶部2 BannerLeftTop2
GIl雕像中型破损03LOD4 GIlStatueMediumBroken03Lod4
G气体投影器LOD1 GGasProjectorLod1
GHabs箱中型012堆叠碎片01 GHabsCrateMedium012stackDebris01
Helldummy01 Helldummy01
G闸门01LOD5 GGate01Lod5
G通用碎片组填充巨大02LOD1 GGenericDebrisSetFillerHuge02Lod1
C移动21 CMovement21
Fine Fine
G孢子光照01LOD5 GSporeLight01Lod5
ShieldProng3 ShieldProng3
G战壕地面1x2阴影LOD2 GTrenchFloor1x2ShadowLod2
G通用碎片组填充大型02阴影 GGenericDebrisSetFillerLrg02Shadow
MYellowLights MYellowLights
G垃圾桶01阴影LOD1 GTrashbin01ShadowLod1
G城市车辆04LOD3 GCityCar04Lod3
握把手臂顶部Rgt GripArmTopRgt
G容器05LOD3 GContainer05Lod3
R炮塔瞄准05 RTurretAim05
GPlatformKitFloorSeatingShadow GPlatformKitFloorSeatingShadow
G装甲受损LOD2 GArmorDamagedLod2
G根部墙03阴影LOD1 GRootWall03ShadowLod1
R拇指手指3V2 RThumbFinger3v2
过场动画投影 CutsceneDrop
GCy障碍栅栏角落01碎片01 GCyBarrierFenceCorner01Debris01
战壕墙中型3m01 TrenchWallMedium3m01
G研究遗物样本01LOD4 GResearchArtifactSample01Lod4
EagleAirToAirMissile EagleAirToAirMissile
C碎片1 CDebris1
平民 Civilian
GCy起重机01基础LOD2 GCyCrane01BaseLod2
GBaseCorpShadowLod1 GBaseCorpShadowLod1
G岩石中型02阴影LOD2 GRockMedium02ShadowLod2
GSuperSyringeLod4 GSuperSyringeLod4
MLightning01 MLightning01
战壕墙1m01 TrenchWall1m01
G沙质岩石酸巨型02LOD4 GSandyRockAcidMassive02Lod4
GCyRemainsBackpackShadowLod2 GCyRemainsBackpackShadowLod2
GIl独石阴影 GIlMonolithShadow
GIlStratagemScrambler GIlStratagemScrambler
CR碰撞01 CRCollision01
G巨大日志01阴影LOD2 GHugeLog01ShadowLod2
ArmWrestleEnterDone ArmWrestleEnterDone
G骨骼生物02阴影LOD2 GBoneCreature02ShadowLod2
G岩石巨大08 GRockHuge08
G弹匣LOD1 GMagazineLod1
弹药箱空01 AmmocrateEmpty01
G征召兵血肉堆01LOD5 GConscriptGorePile01Lod5
G虫族样本01阴影 GBugSample01Shadow
GSe中型墙柱顶部LOD5 GSeWallmedPillarTopLod5
GCy容器01碎片04 GCyContainer01Debris04
后方L腿外部活塞结束 RearLLegOuterPistonEnd
GIl平台楼梯左6rLOD2 GIlPlatformStairsLeft6rLod2
枢轴基础 PivotBase
CyCrateBigWithLid01 CyCrateBigWithLid01
DeathPoweredWeak DeathPoweredWeak
GSeSignWarningExplosives01Lod1 GSeSignWarningExplosives01Lod1
GCeremonialSaberShadow GCeremonialSaberShadow
G骨骼生物13LOD2 GBoneCreature13Lod2
JogSync JogSync
C导航悬挑01 CNavigationOverhang01
附加旗帜 AttachFlag
GPdaShadowLod1 GPdaShadowLod1
M根部墙01 MRootWall01
C手柄L CHandleL
相交指数 IntersectExp
GSeafShellStaticFieldShadowLod2 GSeafShellStaticFieldShadowLod2
GHabsForklift01Lod1 GHabsForklift01Lod1
G战斗步行机自动炮左阴影LOD1 GCombatWalkerAutocannonLeftShadowLod1
GCy弹药箱大型堆叠01 GCyAmmocrateBigStack01
G冰冰柱02阴影LOD1 GIceIcicle02ShadowLod1
GrpL腿 GrpLLeg
DrawC4ChargeDetonator DrawC4ChargeDetonator
G殖民地半机械人生成器废墟碎石LOD1 GColonyCyborgSpawnerRubbleLod1
M喷火器手枪弹匣 MFlamerPistolMagazine
左后腿团块 LeftBackLegBlob
M窗1 MWindow1
CardboardBoxSmall CardboardBoxSmall
G通用碎片混合LOD5 GGenericDebrisMixLod5
CWelder2 CWelder2
L前侧面工厂活塞 LFrontSideFactoryPiston
G墓碑02LOD1 GHeadstone02Lod1
G躯干套件女性 GTorsoKitFemale
GBodyExtrashotLod1 GBodyExtrashotLod1
M武器轨道 MWeaponRails
G巢穴领主大型下颌阴影LOD1 GHiveLordLargeMandibleShadowLod1
CL腿1胶囊 CLLeg1Capsule
G极地岩石通用小型01LOD5 GArcticRockGenericSmall01Lod5
RForelegTip RForelegTip
GHabs平台03LOD4 GHabsPlatform03Lod4
SwirlNoise SwirlNoise
GSignElectricity01Lod2 GSignElectricity01Lod2
GIl废墟碎石中型02阴影 GIlRubbleMedium02Shadow
枢轴偏移01 PivotOffset01
MeleeRecoilDone MeleeRecoilDone
G城市车辆废墟碎石03LOD2 GCityCarRubble03Lod2
GHabs楼梯屋顶出口左01阴影LOD1 GHabsStairsRoofExitLeft01ShadowLod1
GHabsBarrelFuelShadowLod1 GHabsBarrelFuelShadowLod1
G箱体033x3阴影LOD2 GCase033x3ShadowLod2
GSe轰炸机已摧毁主身体尾部LOD1 GSeBomberDestroyedMainBodyTailLod1
护盾5 Shield5
Investigate Investigate
G空气控制塔LOD2 GAirControlTowerLod2
脊柱4R腿 Spine4RLeg
GDirectionalEnergyShieldBackpack GDirectionalEnergyShieldBackpack
G栏杆角落掩体 GRailingCornerCover
GSeaf外壳烟雾 GSeafShellSmoke
G额外火箭 GExtraRockets
GCy着陆垫01阴影LOD2 GCyLandingpad01ShadowLod2
G根部墙04LOD5 GRootWall04Lod5
PlatformKitFloorSeating PlatformKitFloorSeating
GSe大型墙柱顶部阴影 GSeWallbigPillarTopShadow
补给容器012堆叠 SupplyContainer012stack
GCy箱01LOD5 GCyCrate01Lod5
RLinkEjectCover RLinkEjectCover
FanLBt FanLBt
GEngineeringComputer01 GEngineeringComputer01
G护盾生成器背包LOD3 GShieldGeneratorBackpackLod3
FrenzyFiremode FrenzyFiremode
C中部腿1R CMiddleLeg1R
M走私者缓存 MSmugglerCache
特效推进器03 FxThruster03
G装甲阴影 GArmorShadow
G沙质圆形岩石巨型01阴影 GSandyRoundRockMassive01Shadow
C碰撞26 CCollision26
GResearchBioSample01Lod5 GResearchBioSample01Lod5
G岩石大型01LOD3 GRockLarge01Lod3
G巢穴领主端部件LOD5 GHiveLordEndpieceLod5
G逃逸舱热护盾阴影LOD1 GEscapePodHeatshieldShadowLod1
C身体 CBody
G城市车辆01LOD1 GCityCar01Lod1
GHabs栅栏乡村01阴影 GHabsFenceRural01Shadow
GHabs栅栏3xLOD3 GHabsFence3xLod3
枪口6 Muzzle6
CacheLootMarker CacheLootMarker
GHazardSpikyCluster01Lod1 GHazardSpikyCluster01Lod1
C天气叶片15 CWeatherVane15
Handtruck02 Handtruck02
G通用碎片小型09 GGenericDebrisSmall09
地面飞机L GroundplaneL
顶部闸门Rgt TopGateRgt
G逃逸舱LOD1 GEscapePodLod1
16x16001切片04 16x16001Slice04
碰撞26 Collision26
GRootSystem02Lod4 GRootSystem02Lod4
GThrowingKnife GThrowingKnife
GSuperUraniumSample01 GSuperUraniumSample01
GProspectingDrill01Lod2 GProspectingDrill01Lod2
Insert4 Insert4
GColonyElectricStreetBox01Lod1 GColonyElectricStreetBox01Lod1
CBlDoor CBlDoor
C弹药箱01 CAmmoBox01
GSe中型墙墙完整阴影LOD2 GSeWallmedWallFullShadowLod2
GStickyStunGrenadeLod4 GStickyStunGrenadeLod4
LHindlegShoulderCull LHindlegShoulderCull
SuspiciousEnterDone SuspiciousEnterDone
GIl电缆002LOD5 GIlCables002Lod5
G虫族尸体战士身体LOD1 GBugCorpseWarriorBodyLod1
G补给容器012x1LOD2 GSupplyContainer012x1Lod2
特效天线 FxAntenna
G骨骼生物05LOD5 GBoneCreature05Lod5
碰撞24 Collision24
GPatiotableSmall01Lod2 GPatiotableSmall01Lod2
岩石巨大07 RockHuge07
GGnarlyTreeStump01 GGnarlyTreeStump01
后顶部面板2 BackTopPanel2
弹药钳制04 AmmoClamp04
G箱04阴影LOD1 GBox04ShadowLod1
MSignMaintainSafeDistance MSignMaintainSafeDistance
G沼泽英雄树闹鬼小型LOD2 GSwampHeroTreeHauntedSmallLod2
装填殖民地霰弹枪快速 ReloadColonyShotgunFast
GGreenCorpBiosphere01Lod2 GGreenCorpBiosphere01Lod2
PcgPbarBased PcgPbarBased
舌头L10 TongueL10
C椅子 CChair
MGnarlyTreeStump01 MGnarlyTreeStump01
LoseTarget LoseTarget
L翼5 LWing5
C手指02 CFinger02
G喷气步枪阴影 GJetRifleShadow
CIl遭遇舰船已着陆废墟碎石20 CIlEncounterShipLandedRubble20
G沼泽英雄树大型根部02阴影LOD2 GSwampHeroTreeLargeRoot02ShadowLod2
GAa炮塔残骸阴影LOD2 GAaTurretWreckShadowLod2
Cha平民基础01 ChaCivilianBase01
G中型披风LOD1 GMediumCapeLod1
GStoreScreenLargeLod2 GStoreScreenLargeLod2
G岩石柱02阴影LOD1 GRockyPillar02ShadowLod1
R下部锁03 RLowerLock03
GIl尸体堆大型02LOD5 GIlCorpsePileLarge02Lod5
G通用碎片巨大01LOD3 GGenericDebrisHuge01Lod3
Interrupted Interrupted
GSeafShellRegularShadowLod1 GSeafShellRegularShadowLod1
EmotePushupDescent EmotePushupDescent
G尸体旧坐姿03LOD2 GCorpsesOldSitting03Lod2
M机库01 MHangar01
R额外索引手指2 RExtraIndexFinger2
CGenericDebrisClean CGenericDebrisClean
G根部大型02LOD3 GRootLarge02Lod3
装甲头部 ArmorHead
球体01 Sphere01
G轮胎堆叠03LOD5 GTireStack03Lod5
GCy探测器塔碎片1 GCyDetectorTowerDebris1
